concept,group,method,condition,n,clip_ci_high,clip_ci_low,clip_mean,clip_std,fid,fid_boot_mean,fid_ci_high,fid_ci_low,fid_projected,fid_std,fid_sub100,fid_sub100_std,kid,kid_boot_mean,kid_ci_high,kid_ci_low,kid_std,kid_sub100,kid_sub100_std
cuscuz,food,dreambooth_lora,checkpoint_500,100,,,,,201.1915320939733,203.4271451726472,210.12763319054616,197.20809504388092,201.19156240183028,3.348221643536275,,,0.06815969219408746,0.07031791029172893,0.07664199055540705,0.06456912013150012,0.003046013111814153,,
cuscuz,food,dreambooth_lora,checkpoint_1000,100,,,,,195.89835492583802,197.95488611755383,203.17460307773686,193.17782024749923,195.8983862525688,2.5630470263150458,,,0.0749075472224594,0.07677066898165018,0.08325572143575252,0.07085907118872888,0.003191400941246652,,
cuscuz,food,dreambooth_lora,checkpoint_1500,100,,,,,189.36193332475588,191.74487068728607,196.49116311161518,187.5120999227677,189.36196416099307,2.338256392220373,,,0.06308400760419142,0.06520451397780466,0.07028465224078476,0.06025110954022709,0.002590664312672617,,
cuscuz,food,dreambooth_lora,checkpoint_2000,100,,,,,186.6152629196352,188.75977747948184,195.59412310298566,183.08400705318914,186.61529067828437,3.200594633608705,,,0.06617482427975618,0.06799102818224716,0.07226108664625117,0.063775164904916,0.002272379834292236,,
cuscuz,food,dreambooth_lora,checkpoint_2500,100,,,,,179.31668431451794,181.58002266169984,186.57515889518075,176.887804746385,179.3167124731449,2.4812564544941424,,,0.062178423353006274,0.06393267577472693,0.06883245388821255,0.05952123113825206,0.0023245850625728663,,
jian,artifact_object_clothing,dreambooth_lora,without_finetuning,1000,,,,,359.91625851884163,360.1032016895176,363.6369095527286,356.5106001988159,359.91628159577317,1.8886586443611915,362.3926091989636,5.7334842560475625,0.20771152846109997,0.2080949774085875,0.21321457161392193,0.20286319850018564,0.0026640249530607897,0.20744608396105402,0.007322625925237562
jian,artifact_object_clothing,dreambooth_lora,with_finetuning,1000,,,,,240.72057928678663,241.063116761395,246.45475347045178,235.92180738946664,240.72061298469086,2.6428877653762815,244.1029519556396,7.005323623640527,0.06437078892862713,0.0647879204885484,0.06986651534933304,0.06000645020619287,0.0024939324745316795,0.06479628882522866,0.00716778760329752
jian,artifact_object_clothing,textual_inversion,with_baseline,987,21.856099367431593,21.534472152575656,21.702090634401085,2.5225914700299965,367.05680421295284,367.1901490023694,371.2923387135103,363.2545956117431,367.0568290611199,2.0530444599777185,370.3027794621235,6.48934298121735,0.18600292183322642,0.18636042597874516,0.19091353346133794,0.1819311705883451,0.0023801869462693175,0.18630495427725977,0.006986099269419668
jian,artifact_object_clothing,dreambooth_lora,checkpoint_500,100,,,,,323.2269801503104,325.1267248453622,335.99255050099424,314.31884666125757,323.2270085143883,5.599701145550121,,,0.1692474704456548,0.17256946925877997,0.18692113907528762,0.15863512636974708,0.00690409373906548,,
jian,artifact_object_clothing,dreambooth_lora,checkpoint_1000,100,,,,,258.0838152882271,260.6980680601849,275.13814872461535,247.18451086470148,258.0838482013414,7.073205597796621,,,0.09382371321337057,0.09728361839716083,0.11322272255409027,0.08161814860174571,0.008294400774167437,,
